date,tenant_id,product_id,warehouse_id,transaction_type,quantity,reason,reference_id,reference_type,notes,cost_price,total_value
2023-11-07,tenant-1,prod-1,wh-1,out,-7,sale,order-6936,order,Sale transaction for order SO-20231107-7524,430.2594071021801,3011.815849715261
2023-11-08,tenant-1,prod-1,wh-2,out,-2,sale,order-1601,order,Sale transaction for order SO-20231108-9679,430.2594071021801,860.5188142043602
2023-11-09,tenant-1,prod-1,wh-1,out,-8,sale,order-2968,order,Sale transaction for order SO-20231109-8520,430.2594071021801,3442.0752568174407
2023-11-11,tenant-1,prod-1,wh-5,out,-10,sale,order-9002,order,Sale transaction for order SO-20231111-7095,430.2594071021801,4302.594071021801
2023-11-15,tenant-1,prod-1,wh-4,out,-3,sale,order-3230,order,Sale transaction for order SO-20231115-9315,430.2594071021801,1290.7782213065402
2023-11-18,tenant-1,prod-1,wh-1,out,-10,sale,order-8172,order,Sale transaction for order SO-20231118-1573,430.2594071021801,4302.594071021801
2023-11-19,tenant-1,prod-1,wh-2,out,-4,sale,order-8438,order,Sale transaction for order SO-20231119-1054,430.2594071021801,1721.0376284087204
2023-11-21,tenant-1,prod-1,wh-2,out,-7,sale,order-8374,order,Sale transaction for order SO-20231121-4270,430.2594071021801,3011.815849715261
2023-11-22,tenant-1,prod-1,wh-4,out,-5,sale,order-8457,order,Sale transaction for order SO-20231122-4903,430.2594071021801,2151.2970355109005
2023-11-27,tenant-1,prod-1,wh-5,out,-4,sale,order-2102,order,Sale transaction for order SO-20231127-8141,430.2594071021801,1721.0376284087204
2023-11-29,tenant-1,prod-1,wh-2,out,-7,sale,order-4768,order,Sale transaction for order SO-20231129-5391,430.2594071021801,3011.815849715261
2023-11-30,tenant-1,prod-1,wh-2,out,-6,sale,order-3330,order,Sale transaction for order SO-20231130-2717,430.2594071021801,2581.5564426130804
2023-12-04,tenant-1,prod-1,wh-3,out,-7,sale,order-3063,order,Sale transaction for order SO-20231204-6865,430.2594071021801,3011.815849715261
2023-12-09,tenant-1,prod-1,wh-4,out,-3,sale,order-3246,order,Sale transaction for order SO-20231209-2661,430.2594071021801,1290.7782213065402
2023-12-15,tenant-1,prod-1,wh-1,out,-7,sale,order-5238,order,Sale transaction for order SO-20231215-8488,430.2594071021801,3011.815849715261
2023-12-19,tenant-1,prod-1,wh-5,out,-2,sale,order-1181,order,Sale transaction for order SO-20231219-4024,430.2594071021801,860.5188142043602
2023-12-21,tenant-1,prod-1,wh-2,out,-8,sale,order-1089,order,Sale transaction for order SO-20231221-9246,430.2594071021801,3442.0752568174407
2023-12-22,tenant-1,prod-1,wh-4,out,-8,sale,order-7005,order,Sale transaction for order SO-20231222-2355,430.2594071021801,3442.0752568174407
2023-12-26,tenant-1,prod-1,wh-5,out,-4,sale,order-6938,order,Sale transaction for order SO-20231226-7040,430.2594071021801,1721.0376284087204
2024-01-01,tenant-1,prod-1,wh-1,out,-6,sale,order-5234,order,Sale transaction for order SO-20240101-1654,430.2594071021801,2581.5564426130804
2024-01-05,tenant-1,prod-1,wh-5,out,-7,sale,order-6731,order,Sale transaction for order SO-20240105-1383,430.2594071021801,3011.815849715261
2024-01-06,tenant-1,prod-1,wh-5,out,-8,sale,order-1275,order,Sale transaction for order SO-20240106-9695,430.2594071021801,3442.0752568174407
2024-01-12,tenant-1,prod-1,wh-5,out,-7,sale,order-4930,order,Sale transaction for order SO-20240112-6024,430.2594071021801,3011.815849715261
2024-01-16,tenant-1,prod-1,wh-5,out,-3,sale,order-1930,order,Sale transaction for order SO-20240116-6619,430.2594071021801,1290.7782213065402
2024-01-21,tenant-1,prod-1,wh-2,out,-9,sale,order-4688,order,Sale transaction for order SO-20240121-6168,430.2594071021801,3872.3346639196207
2024-01-24,tenant-1,prod-1,wh-3,out,-1,sale,order-3730,order,Sale transaction for order SO-20240124-8122,430.2594071021801,430.2594071021801
2024-01-25,tenant-1,prod-1,wh-4,out,-7,sale,order-8643,order,Sale transaction for order SO-20240125-7645,430.2594071021801,3011.815849715261
2024-01-26,tenant-1,prod-1,wh-1,out,-10,sale,order-5051,order,Sale transaction for order SO-20240126-5727,430.2594071021801,4302.594071021801
2024-01-28,tenant-1,prod-1,wh-2,out,-8,sale,order-8740,order,Sale transaction for order SO-20240128-8649,430.2594071021801,3442.0752568174407
2024-02-01,tenant-1,prod-1,wh-5,out,-3,sale,order-7294,order,Sale transaction for order SO-20240201-3435,430.2594071021801,1290.7782213065402
2024-02-07,tenant-1,prod-1,wh-1,out,-5,sale,order-1969,order,Sale transaction for order SO-20240207-5829,430.2594071021801,2151.2970355109005
2024-02-08,tenant-1,prod-1,wh-5,out,-10,sale,order-1872,order,Sale transaction for order SO-20240208-7337,430.2594071021801,4302.594071021801
2024-02-11,tenant-1,prod-1,wh-2,out,-6,sale,order-6156,order,Sale transaction for order SO-20240211-2751,430.2594071021801,2581.5564426130804
2024-03-03,tenant-1,prod-1,wh-4,out,-2,sale,order-5643,order,Sale transaction for order SO-20240303-5737,430.2594071021801,860.5188142043602
2024-03-04,tenant-1,prod-1,wh-1,out,-7,sale,order-1705,order,Sale transaction for order SO-20240304-1662,430.2594071021801,3011.815849715261
2024-03-06,tenant-1,prod-1,wh-1,out,-1,sale,order-3928,order,Sale transaction for order SO-20240306-9847,430.2594071021801,430.2594071021801
2024-03-11,tenant-1,prod-1,wh-2,out,-3,sale,order-4782,order,Sale transaction for order SO-20240311-6829,430.2594071021801,1290.7782213065402
2024-03-12,tenant-1,prod-1,wh-1,out,-3,sale,order-2434,order,Sale transaction for order SO-20240312-8797,430.2594071021801,1290.7782213065402
2024-03-13,tenant-1,prod-1,wh-3,out,-5,sale,order-5447,order,Sale transaction for order SO-20240313-1754,430.2594071021801,2151.2970355109005
2024-03-14,tenant-1,prod-1,wh-1,out,-1,sale,order-8756,order,Sale transaction for order SO-20240314-4471,430.2594071021801,430.2594071021801
2024-03-15,tenant-1,prod-1,wh-4,out,-3,sale,order-2213,order,Sale transaction for order SO-20240315-7140,430.2594071021801,1290.7782213065402
2024-03-22,tenant-1,prod-1,wh-1,out,-9,sale,order-1447,order,Sale transaction for order SO-20240322-5368,430.2594071021801,3872.3346639196207
2024-03-26,tenant-1,prod-1,wh-1,out,-10,sale,order-2239,order,Sale transaction for order SO-20240326-2016,430.2594071021801,4302.594071021801
2024-03-30,tenant-1,prod-1,wh-1,out,-8,sale,order-4291,order,Sale transaction for order SO-20240330-7909,430.2594071021801,3442.0752568174407
2024-04-01,tenant-1,prod-1,wh-1,out,-9,sale,order-6608,order,Sale transaction for order SO-20240401-2841,430.2594071021801,3872.3346639196207
2024-04-09,tenant-1,prod-1,wh-5,out,-9,sale,order-8889,order,Sale transaction for order SO-20240409-4356,430.2594071021801,3872.3346639196207
2024-04-12,tenant-1,prod-1,wh-5,out,-6,sale,order-9530,order,Sale transaction for order SO-20240412-9187,430.2594071021801,2581.5564426130804
2024-04-14,tenant-1,prod-1,wh-5,in,71,restock,PO-4771,purchase_order,Restock transaction for Smartphone 1,430.2594071021801,30548.417904254788
2024-04-22,tenant-1,prod-1,wh-4,out,-3,sale,order-5881,order,Sale transaction for order SO-20240422-3917,430.2594071021801,1290.7782213065402
2024-04-25,tenant-1,prod-1,wh-3,out,-1,sale,order-6920,order,Sale transaction for order SO-20240425-7537,430.2594071021801,430.2594071021801
2024-04-26,tenant-1,prod-1,wh-3,out,-7,sale,order-5074,order,Sale transaction for order SO-20240426-3911,430.2594071021801,3011.815849715261
2024-04-29,tenant-1,prod-1,wh-3,out,-3,sale,order-1887,order,Sale transaction for order SO-20240429-4764,430.2594071021801,1290.7782213065402
2024-05-04,tenant-1,prod-1,wh-1,out,-6,sale,order-1675,order,Sale transaction for order SO-20240504-3668,430.2594071021801,2581.5564426130804
2024-05-05,tenant-1,prod-1,wh-1,out,-5,sale,order-3158,order,Sale transaction for order SO-20240505-8077,430.2594071021801,2151.2970355109005
2024-05-11,tenant-1,prod-1,wh-5,out,-5,sale,order-6106,order,Sale transaction for order SO-20240511-1822,430.2594071021801,2151.2970355109005
2024-05-15,tenant-1,prod-1,wh-5,out,-5,sale,order-7615,order,Sale transaction for order SO-20240515-8455,430.2594071021801,2151.2970355109005
2024-05-20,tenant-1,prod-1,wh-4,out,-8,sale,order-8225,order,Sale transaction for order SO-20240520-4575,430.2594071021801,3442.0752568174407
2024-05-21,tenant-1,prod-1,wh-4,out,-8,sale,order-9487,order,Sale transaction for order SO-20240521-7268,430.2594071021801,3442.0752568174407
2024-05-22,tenant-1,prod-1,wh-4,out,-8,sale,order-7814,order,Sale transaction for order SO-20240522-3756,430.2594071021801,3442.0752568174407
2024-06-08,tenant-1,prod-1,wh-2,out,-8,sale,order-1151,order,Sale transaction for order SO-20240608-9897,430.2594071021801,3442.0752568174407
2024-06-11,tenant-1,prod-1,wh-1,out,-5,sale,order-9352,order,Sale transaction for order SO-20240611-6202,430.2594071021801,2151.2970355109005
2024-06-13,tenant-1,prod-1,wh-3,out,-2,sale,order-1827,order,Sale transaction for order SO-20240613-2281,430.2594071021801,860.5188142043602
2024-06-15,tenant-1,prod-1,wh-1,out,-10,sale,order-7746,order,Sale transaction for order SO-20240615-7994,430.2594071021801,4302.594071021801
2024-06-17,tenant-1,prod-1,wh-4,out,-1,sale,order-8431,order,Sale transaction for order SO-20240617-7196,430.2594071021801,430.2594071021801
2024-06-23,tenant-1,prod-1,wh-5,in,56,restock,PO-3751,purchase_order,Restock transaction for Smartphone 1,430.2594071021801,24094.526797722086
2024-06-22,tenant-1,prod-1,wh-1,out,-6,sale,order-1877,order,Sale transaction for order SO-20240622-3106,430.2594071021801,2581.5564426130804
2024-06-30,tenant-1,prod-1,wh-3,out,-4,sale,order-7144,order,Sale transaction for order SO-20240630-2507,430.2594071021801,1721.0376284087204
2024-07-05,tenant-1,prod-1,wh-4,out,-9,sale,order-4462,order,Sale transaction for order SO-20240705-6891,430.2594071021801,3872.3346639196207
2024-07-06,tenant-1,prod-1,wh-3,out,-3,sale,order-7994,order,Sale transaction for order SO-20240706-5054,430.2594071021801,1290.7782213065402
2024-07-10,tenant-1,prod-1,wh-1,in,80,restock,PO-6230,purchase_order,Restock transaction for Smartphone 1,430.2594071021801,34420.75256817441
2024-07-15,tenant-1,prod-1,wh-4,out,-9,sale,order-7693,order,Sale transaction for order SO-20240715-4197,430.2594071021801,3872.3346639196207
2024-07-19,tenant-1,prod-1,wh-5,out,-9,sale,order-8323,order,Sale transaction for order SO-20240719-3602,430.2594071021801,3872.3346639196207
2024-07-20,tenant-1,prod-1,wh-1,out,-6,sale,order-9088,order,Sale transaction for order SO-20240720-2984,430.2594071021801,2581.5564426130804
2024-07-23,tenant-1,prod-1,wh-2,out,-6,sale,order-7592,order,Sale transaction for order SO-20240723-7662,430.2594071021801,2581.5564426130804
2024-07-27,tenant-1,prod-1,wh-4,out,-3,sale,order-7993,order,Sale transaction for order SO-20240727-4566,430.2594071021801,1290.7782213065402
2024-07-28,tenant-1,prod-1,wh-5,out,-5,sale,order-1865,order,Sale transaction for order SO-20240728-8173,430.2594071021801,2151.2970355109005
2024-07-29,tenant-1,prod-1,wh-3,out,-8,sale,order-9432,order,Sale transaction for order SO-20240729-9294,430.2594071021801,3442.0752568174407
2024-08-01,tenant-1,prod-1,wh-3,out,-5,sale,order-3869,order,Sale transaction for order SO-20240801-7847,430.2594071021801,2151.2970355109005
2024-08-02,tenant-1,prod-1,wh-1,out,-5,sale,order-1846,order,Sale transaction for order SO-20240802-3022,430.2594071021801,2151.2970355109005
2024-08-09,tenant-1,prod-1,wh-5,in,83,restock,PO-2379,purchase_order,Restock transaction for Smartphone 1,430.2594071021801,35711.530789480945
2024-08-05,tenant-1,prod-1,wh-5,out,-8,sale,order-5885,order,Sale transaction for order SO-20240805-4703,430.2594071021801,3442.0752568174407
2024-08-09,tenant-1,prod-1,wh-3,out,-1,sale,order-3031,order,Sale transaction for order SO-20240809-6407,430.2594071021801,430.2594071021801
2024-08-18,tenant-1,prod-1,wh-5,out,-6,sale,order-9534,order,Sale transaction for order SO-20240818-9916,430.2594071021801,2581.5564426130804
2024-08-21,tenant-1,prod-1,wh-4,out,-6,sale,order-5591,order,Sale transaction for order SO-20240821-1632,430.2594071021801,2581.5564426130804
2024-08-28,tenant-1,prod-1,wh-2,in,59,restock,PO-7141,purchase_order,Restock transaction for Smartphone 1,430.2594071021801,25385.305019028627
2024-08-23,tenant-1,prod-1,wh-5,out,-3,sale,order-7173,order,Sale transaction for order SO-20240823-6498,430.2594071021801,1290.7782213065402
2024-08-26,tenant-1,prod-1,wh-4,in,86,restock,PO-8228,purchase_order,Restock transaction for Smartphone 1,430.2594071021801,37002.30901078749
2024-08-24,tenant-1,prod-1,wh-2,out,-9,sale,order-8922,order,Sale transaction for order SO-20240824-5319,430.2594071021801,3872.3346639196207
2024-08-29,tenant-1,prod-1,wh-4,in,91,restock,PO-1102,purchase_order,Restock transaction for Smartphone 1,430.2594071021801,39153.60604629839
2024-08-25,tenant-1,prod-1,wh-1,out,-3,sale,order-2789,order,Sale transaction for order SO-20240825-9847,430.2594071021801,1290.7782213065402
2024-08-28,tenant-1,prod-1,wh-3,out,-6,sale,order-6923,order,Sale transaction for order SO-20240828-8119,430.2594071021801,2581.5564426130804
2024-08-31,tenant-1,prod-1,wh-3,out,-7,sale,order-4090,order,Sale transaction for order SO-20240831-6973,430.2594071021801,3011.815849715261
2024-09-02,tenant-1,prod-1,wh-3,out,-5,sale,order-2564,order,Sale transaction for order SO-20240902-6108,430.2594071021801,2151.2970355109005
2024-09-06,tenant-1,prod-1,wh-2,out,-3,sale,order-2534,order,Sale transaction for order SO-20240906-5426,430.2594071021801,1290.7782213065402
2024-09-10,tenant-1,prod-1,wh-4,out,-5,sale,order-5293,order,Sale transaction for order SO-20240910-2746,430.2594071021801,2151.2970355109005
2024-09-16,tenant-1,prod-1,wh-2,out,-2,sale,order-8028,order,Sale transaction for order SO-20240916-2010,430.2594071021801,860.5188142043602
2024-09-17,tenant-1,prod-1,wh-5,in,84,restock,PO-2854,purchase_order,Restock transaction for Smartphone 1,430.2594071021801,36141.790196583126
2024-09-21,tenant-1,prod-1,wh-3,out,-3,sale,order-5169,order,Sale transaction for order SO-20240921-6391,430.2594071021801,1290.7782213065402
2024-09-25,tenant-1,prod-1,wh-4,out,-3,sale,order-4789,order,Sale transaction for order SO-20240925-2705,430.2594071021801,1290.7782213065402
2024-10-01,tenant-1,prod-1,wh-5,out,-10,sale,order-1509,order,Sale transaction for order SO-20241001-7382,430.2594071021801,4302.594071021801
2024-10-03,tenant-1,prod-1,wh-4,out,-9,sale,order-4252,order,Sale transaction for order SO-20241003-6254,430.2594071021801,3872.3346639196207
2024-10-11,tenant-1,prod-1,wh-4,out,-3,sale,order-6072,order,Sale transaction for order SO-20241011-8387,430.2594071021801,1290.7782213065402
2024-10-15,tenant-1,prod-1,wh-3,out,-10,sale,order-1153,order,Sale transaction for order SO-20241015-3395,430.2594071021801,4302.594071021801
2024-10-18,tenant-1,prod-1,wh-2,out,-8,sale,order-8638,order,Sale transaction for order SO-20241018-3540,430.2594071021801,3442.0752568174407
2024-10-22,tenant-1,prod-1,wh-4,in,45,restock,PO-6001,purchase_order,Restock transaction for Smartphone 1,430.2594071021801,19361.673319598103
2024-10-19,tenant-1,prod-1,wh-2,out,-8,sale,order-6778,order,Sale transaction for order SO-20241019-7176,430.2594071021801,3442.0752568174407
2024-10-28,tenant-1,prod-1,wh-5,out,-8,sale,order-1160,order,Sale transaction for order SO-20241028-3415,430.2594071021801,3442.0752568174407
2024-10-29,tenant-1,prod-1,wh-3,out,-3,sale,order-3191,order,Sale transaction for order SO-20241029-1373,430.2594071021801,1290.7782213065402
2024-11-03,tenant-1,prod-1,wh-5,in,26,restock,PO-9758,purchase_order,Restock transaction for Smartphone 1,430.2594071021801,11186.744584656682
2024-11-03,tenant-1,prod-1,wh-2,out,-8,sale,order-6117,order,Sale transaction for order SO-20241103-7405,430.2594071021801,3442.0752568174407
2024-11-04,tenant-1,prod-1,wh-1,out,-4,sale,order-5644,order,Sale transaction for order SO-20241104-2811,430.2594071021801,1721.0376284087204
2024-11-06,tenant-1,prod-1,wh-1,out,-8,sale,order-6419,order,Sale transaction for order SO-20241106-9646,430.2594071021801,3442.0752568174407
2024-11-07,tenant-1,prod-1,wh-5,out,-1,sale,order-6747,order,Sale transaction for order SO-20241107-3342,430.2594071021801,430.2594071021801
2024-11-11,tenant-1,prod-1,wh-5,out,-8,sale,order-7514,order,Sale transaction for order SO-20241111-6398,430.2594071021801,3442.0752568174407
2024-11-13,tenant-1,prod-1,wh-3,out,-1,sale,order-4404,order,Sale transaction for order SO-20241113-7969,430.2594071021801,430.2594071021801
2024-11-17,tenant-1,prod-1,wh-5,in,86,restock,PO-7274,purchase_order,Restock transaction for Smartphone 1,430.2594071021801,37002.30901078749
2024-11-18,tenant-1,prod-1,wh-4,out,-10,sale,order-5520,order,Sale transaction for order SO-20241118-5029,430.2594071021801,4302.594071021801
2024-11-20,tenant-1,prod-1,wh-3,out,-7,sale,order-1296,order,Sale transaction for order SO-20241120-6611,430.2594071021801,3011.815849715261
2024-11-22,tenant-1,prod-1,wh-1,out,-6,sale,order-3586,order,Sale transaction for order SO-20241122-8668,430.2594071021801,2581.5564426130804
2024-11-23,tenant-1,prod-1,wh-4,in,26,restock,PO-2143,purchase_order,Restock transaction for Smartphone 1,430.2594071021801,11186.744584656682
2024-11-28,tenant-1,prod-1,wh-4,out,-4,sale,order-4673,order,Sale transaction for order SO-20241128-8482,430.2594071021801,1721.0376284087204
2024-12-02,tenant-1,prod-1,wh-3,out,-2,sale,order-5686,order,Sale transaction for order SO-20241202-8034,430.2594071021801,860.5188142043602
2024-12-07,tenant-1,prod-1,wh-1,out,-1,sale,order-1817,order,Sale transaction for order SO-20241207-5563,430.2594071021801,430.2594071021801
2024-12-08,tenant-1,prod-1,wh-3,out,-2,sale,order-8549,order,Sale transaction for order SO-20241208-1803,430.2594071021801,860.5188142043602
2024-12-09,tenant-1,prod-1,wh-1,out,-3,sale,order-3756,order,Sale transaction for order SO-20241209-3286,430.2594071021801,1290.7782213065402
2024-12-17,tenant-1,prod-1,wh-2,out,-10,sale,order-2212,order,Sale transaction for order SO-20241217-5185,430.2594071021801,4302.594071021801
2024-12-21,tenant-1,prod-1,wh-5,out,-8,sale,order-9527,order,Sale transaction for order SO-20241221-8597,430.2594071021801,3442.0752568174407
2024-12-24,tenant-1,prod-1,wh-2,out,-10,sale,order-2187,order,Sale transaction for order SO-20241224-3037,430.2594071021801,4302.594071021801
2024-12-30,tenant-1,prod-1,wh-1,out,-4,sale,order-2773,order,Sale transaction for order SO-20241230-7595,430.2594071021801,1721.0376284087204
2025-01-06,tenant-1,prod-1,wh-4,out,-4,sale,order-3031,order,Sale transaction for order SO-20250106-6322,430.2594071021801,1721.0376284087204
2025-01-07,tenant-1,prod-1,wh-5,out,-8,sale,order-1590,order,Sale transaction for order SO-20250107-5010,430.2594071021801,3442.0752568174407
2025-01-13,tenant-1,prod-1,wh-4,out,-7,sale,order-1645,order,Sale transaction for order SO-20250113-9745,430.2594071021801,3011.815849715261
2025-01-20,tenant-1,prod-1,wh-2,out,-7,sale,order-9984,order,Sale transaction for order SO-20250120-9132,430.2594071021801,3011.815849715261
2025-01-21,tenant-1,prod-1,wh-3,out,-7,sale,order-4742,order,Sale transaction for order SO-20250121-9396,430.2594071021801,3011.815849715261
2025-01-22,tenant-1,prod-1,wh-5,out,-5,sale,order-7435,order,Sale transaction for order SO-20250122-2187,430.2594071021801,2151.2970355109005
2025-01-23,tenant-1,prod-1,wh-5,out,-3,sale,order-4754,order,Sale transaction for order SO-20250123-7278,430.2594071021801,1290.7782213065402
2025-01-24,tenant-1,prod-1,wh-5,out,-5,sale,order-9120,order,Sale transaction for order SO-20250124-8886,430.2594071021801,2151.2970355109005
2025-01-26,tenant-1,prod-1,wh-3,out,-2,sale,order-5098,order,Sale transaction for order SO-20250126-5112,430.2594071021801,860.5188142043602
2025-01-28,tenant-1,prod-1,wh-1,out,-4,sale,order-9891,order,Sale transaction for order SO-20250128-7294,430.2594071021801,1721.0376284087204
2025-01-29,tenant-1,prod-1,wh-2,out,-7,sale,order-4400,order,Sale transaction for order SO-20250129-6548,430.2594071021801,3011.815849715261
2025-02-02,tenant-1,prod-1,wh-1,out,-8,sale,order-8998,order,Sale transaction for order SO-20250202-8088,430.2594071021801,3442.0752568174407
2025-02-03,tenant-1,prod-1,wh-1,out,-7,sale,order-4797,order,Sale transaction for order SO-20250203-9651,430.2594071021801,3011.815849715261
2025-02-07,tenant-1,prod-1,wh-2,out,-6,sale,order-5440,order,Sale transaction for order SO-20250207-4559,430.2594071021801,2581.5564426130804
2025-02-08,tenant-1,prod-1,wh-2,in,57,restock,PO-5596,purchase_order,Restock transaction for Smartphone 1,430.2594071021801,24524.786204824264
2025-02-15,tenant-1,prod-1,wh-4,out,-1,sale,order-7528,order,Sale transaction for order SO-20250215-8298,430.2594071021801,430.2594071021801
2025-02-17,tenant-1,prod-1,wh-5,out,-5,sale,order-2257,order,Sale transaction for order SO-20250217-4923,430.2594071021801,2151.2970355109005
2025-02-19,tenant-1,prod-1,wh-5,out,-3,sale,order-8040,order,Sale transaction for order SO-20250219-5430,430.2594071021801,1290.7782213065402
2025-02-21,tenant-1,prod-1,wh-3,out,-4,sale,order-8145,order,Sale transaction for order SO-20250221-8945,430.2594071021801,1721.0376284087204
2025-02-25,tenant-1,prod-1,wh-2,in,85,restock,PO-5872,purchase_order,Restock transaction for Smartphone 1,430.2594071021801,36572.04960368531
2025-02-22,tenant-1,prod-1,wh-3,out,-5,sale,order-9766,order,Sale transaction for order SO-20250222-9479,430.2594071021801,2151.2970355109005
2025-02-23,tenant-1,prod-1,wh-3,out,-6,sale,order-4564,order,Sale transaction for order SO-20250223-8546,430.2594071021801,2581.5564426130804
2025-02-25,tenant-1,prod-1,wh-4,out,-10,sale,order-5517,order,Sale transaction for order SO-20250225-6441,430.2594071021801,4302.594071021801
2025-02-27,tenant-1,prod-1,wh-4,out,-4,sale,order-4355,order,Sale transaction for order SO-20250227-1174,430.2594071021801,1721.0376284087204
2025-03-01,tenant-1,prod-1,wh-4,out,-4,sale,order-1421,order,Sale transaction for order SO-20250301-1970,430.2594071021801,1721.0376284087204
2025-03-03,tenant-1,prod-1,wh-5,out,-4,sale,order-6250,order,Sale transaction for order SO-20250303-9648,430.2594071021801,1721.0376284087204
2025-03-06,tenant-1,prod-1,wh-4,out,-3,sale,order-7845,order,Sale transaction for order SO-20250306-8510,430.2594071021801,1290.7782213065402
2025-03-07,tenant-1,prod-1,wh-2,out,-7,sale,order-8271,order,Sale transaction for order SO-20250307-2952,430.2594071021801,3011.815849715261
2025-03-08,tenant-1,prod-1,wh-1,out,-1,sale,order-7696,order,Sale transaction for order SO-20250308-3563,430.2594071021801,430.2594071021801
2025-03-10,tenant-1,prod-1,wh-4,out,-4,sale,order-9700,order,Sale transaction for order SO-20250310-1708,430.2594071021801,1721.0376284087204
2025-03-13,tenant-1,prod-1,wh-4,out,-7,sale,order-8151,order,Sale transaction for order SO-20250313-3677,430.2594071021801,3011.815849715261
2025-03-18,tenant-1,prod-1,wh-2,out,-10,sale,order-1857,order,Sale transaction for order SO-20250318-4392,430.2594071021801,4302.594071021801
2025-03-25,tenant-1,prod-1,wh-4,out,-5,sale,order-8036,order,Sale transaction for order SO-20250325-8957,430.2594071021801,2151.2970355109005
2025-03-26,tenant-1,prod-1,wh-1,out,-7,sale,order-1737,order,Sale transaction for order SO-20250326-5706,430.2594071021801,3011.815849715261
2025-03-28,tenant-1,prod-1,wh-2,in,68,restock,PO-7277,purchase_order,Restock transaction for Smartphone 1,430.2594071021801,29257.639682948247
2025-03-30,tenant-1,prod-1,wh-5,out,-5,sale,order-4831,order,Sale transaction for order SO-20250330-8899,430.2594071021801,2151.2970355109005
2025-04-05,tenant-1,prod-1,wh-3,out,-9,sale,order-8184,order,Sale transaction for order SO-20250405-9378,430.2594071021801,3872.3346639196207
2025-04-08,tenant-1,prod-1,wh-4,out,-9,sale,order-1409,order,Sale transaction for order SO-20250408-5299,430.2594071021801,3872.3346639196207
2025-04-14,tenant-1,prod-1,wh-2,out,-1,sale,order-5816,order,Sale transaction for order SO-20250414-2770,430.2594071021801,430.2594071021801
2025-04-15,tenant-1,prod-1,wh-5,out,-4,sale,order-2460,order,Sale transaction for order SO-20250415-3995,430.2594071021801,1721.0376284087204
2025-04-17,tenant-1,prod-1,wh-4,out,-5,sale,order-3876,order,Sale transaction for order SO-20250417-4669,430.2594071021801,2151.2970355109005
2025-04-25,tenant-1,prod-1,wh-2,out,-7,sale,order-4541,order,Sale transaction for order SO-20250425-4555,430.2594071021801,3011.815849715261
2025-04-28,tenant-1,prod-1,wh-3,out,-4,sale,order-6906,order,Sale transaction for order SO-20250428-2469,430.2594071021801,1721.0376284087204
2025-05-05,tenant-1,prod-1,wh-5,out,-2,sale,order-2635,order,Sale transaction for order SO-20250505-3217,430.2594071021801,860.5188142043602
2025-05-20,tenant-1,prod-1,wh-5,out,-5,sale,order-3754,order,Sale transaction for order SO-20250520-1939,430.2594071021801,2151.2970355109005
2025-05-26,tenant-1,prod-1,wh-1,out,-4,sale,order-6050,order,Sale transaction for order SO-20250526-9841,430.2594071021801,1721.0376284087204
2025-05-28,tenant-1,prod-1,wh-2,out,-2,sale,order-6374,order,Sale transaction for order SO-20250528-5759,430.2594071021801,860.5188142043602
